2akf:B:B1	B_B D452 E456
8q66:A:A1	A_A C768 C771 C887 C890
8igt:A:A1	A_A C353 H357 H530 H532
258l:A:A1	A_A H21 E22 H142
6cbs:A:A1	A_A D537 H541
6ygu:B:B1	B_B C1057 C1066 C1070 H1074
3pnz:A:A1_A2	A_A H22 H24 K154 D272:A_A K154 H187 H215
2cks:B:B1_B2_B3_B4	B_B D169 D173:B_B E145 H146:B_B D287 D289:B_B E263 E355
7bjk:A:A1	A_A H31 H83 D182 H186
2fr5:A:A1	A_A C65 C99 C102
7yh4:A:A1_A2	A_A C124 E165 H377:A_A H126 H189
9f40:A:A1_A2_A3	A_A E67 N107 H111 D218:A_A E38 D79:A_A E210 E212
6pcz:A:A1	A_A C243 S278 E442 H443
3a9j:C:C1	C_C C670 C673 C684 C687
6v4c:A:A1	A_A H172 E249
2pkp:A:A1	A_A D13 C63
6wis:A:A1_A2	A_A D18 H22 E98:A_A H8 H33 E35
3q4r:A:A1_A2	A_A E28 E54 H57:A_A E54 E113 H146
3m4w:E:E1	E_E H187 E189
2wvl:A:A1_A2	A_A H8 E19:A_A E251 H309 H311
4h9k:A:A1	A_A H49 C69 A168
1odz:A:A1	A_A E67 H71
2peb:A:A1	A_A H12 H14 H84
5h6b:A:A1_A2	A_A D64 H75:A_A H139 D185
6om4:A:A1	A_A C257 C260 C343 C346
7xj5:A:A1	A_A E72 E119
3i9f:B:B1_B2	B_B D118 H180 H182 H184:B_B E68 E71
3ne8:A:A1	A_A H188 E203 H257 D259 E290
4m3p:A:A1	A_A C217 C300
7xp1:A:A1	A_A H147 H192 H214
4tma:J:J1	J_J C9 C12 C28 C32
8f1b:D:D1_D2_D3_D4	D_D H35 H37 E66:D_D E83 H86 H87:D_D D50 H194:D_D H49 H194 E196
6kfs:A:A1	A_A C45 H101 C125
5h3j:A:A1	A_A H18 C103
8c01:o:o1	o_o C304 C323 C326
4gwd:A:A1	A_A H141 E277
4fc5:C:C1_C2_C3_C4_C5	C_C D61 D157 D246:C_C E115 D157 E161:C_C E59 D246:C_C D21 H174:C_C H31 E210
6r4z:A:A1	A_A H142 H146 E185
3ibm:B:B1	B_B E70 H72 H76 H110
3ct8:A:A1	A_A H70 E123
4bwz:A:A1	A_A E5 E9 H51
5yln:A:A1_A2	A_A C38 H60:A_A C90 C93 C96 C104
7khy:A:A1	A_A H38 E252
5tdr:A:A1_A2	A_A C19 C22 C45 C48:A_A C5 C7 H27 C30
1pyi:A:A1_A2	A_A C34 C54 C61:A_A C34 C37 C44 C51
7coh:F:F1	F_F C60 C62 C82 C85
3u1l:A:A1	A_A C73 C81 C87 H91
3h68:A:A1_A2	A_A D271 N303 H352 H427:A_A D242 H244 D271
4mt2:A:A1_A2	A_A C15 C19 C24 C29:A_A C7 C13 C15 C26
6jdh:A:A1	A_A H156 C166 C168 C173
9bcu:P:P1	P_P C8 C11 C27
2d5m:A:A1	A_A C39 C40
5vi6:A:A1	A_A D101 W141 H142 H143 G151 F152 C153 D178 H180 F208 D267 G304 Y306
8b2h:A:A1	A_A H113 E116
6sja:B:B1_B2	B_B C1103 C1106 C1136 C1139:B_B C1030 C1033 C1063 C1066
5cvi:B:B1_B2_B3	B_B D7 E99 E102 H103:B_B E80 C123 H125:B_B H76 H95 D160
6fp5:B:B1	B_B C14 C17 C66 C69
2qw5:A:A1	A_A E182 D215 Q246 E280
3w20:A:A1	A_A H155 D157 H246
5mvw:A:A1	A_A H1082 C1084
1vpy:A:A1_A2	A_A H-2 H0:A_A E25 H29
6j07:B:B1	B_B C618 H621
4y8a:A:A1	A_A E14 Y108
5iaa:A:A1	A_A C226 C229 C303 C308
7zhg:W:W1	W_W C20 C23 C39
7oc5:A:A1	A_A H41 C43 C85 C87
5vjt:A:A1_A2	A_A D63 D134 H138:A_A E34 E64 H67 E135
4lqf:A:A1	A_A H113 E129
3fl2:A:A1_A2	A_A C724 C727 C744 C747:A_A C739 H741 C759 C762
4adn:A:A1	A_A C166 C169 C198 C204
7zjm:A:A1_A2	A_A E101 H115:A_A E185 E210
1eb6:A:A1	A_A H128 H132 D143
2eij:C:C1	C_C H148 H232 E236
8xi2:O:O1_O2	O_O C166 C174 C180 H184:O_O C23 C26 C80
3r6f:A:A1	A_A C4 C7 H44 H89
3lwu:A:A1	A_A H44 E47 H173
1toa:A:A1	A_A H68 H133 H199 D279
6eqs:D:D1	D_D C166 C169 C207 C212
7nuu:A:A1	A_A E143 H211 H232
5y06:A:A1	A_A C204 C207 C230 C233
4ehc:A:A1	A_A H-16 H-14 D36 D189
4bmb:A:A1	A_A H38 H147
7yr9:A:A1	A_A C124 C152
4ys4:A:A1	A_A D132 D134
7e3w:B:B1_B2	B_B H48 H50 H110 D144:B_B D52 H53 D144 H195
1h8l:A:A1	A_A H74 E77 H181
2byo:A:A1_A2_A3	A_A H42 D61:A_A D98 D99:A_A H42 D63
3l0a:A:A1	A_A C35 C240 C243 C246
3asl:A:A1_A2_A3_A4	A_A C302 C305 C313 C316:A_A C318 C321 H341 C344:A_A C333 C336 C360 C363:A_A H319 E362
6csl:A:A1	A_A D293 H314 H317 H319
4wsq:A:A1_A2_A3	A_A H185 D186 H189:A_A D127 H185:A_A D176 D194
9dsy:A:A1_A2	A_A H38 R281:A_A D118 H145
8rqb:A:A1	A_A E27 E62 H65
2olm:A:A1	A_A C29 C32 C49 C52
2zkt:B:B1_B2	B_B D13 S60 D346 H347:B_B D305 H309 H356
5ax7:B:B1	B_B E131 H170
1vec:A:A1	A_A E102 H179
3b08:B:B1	B_B C197 C200 C211 C214
8ei7:A:A1	A_A Y587 T799
5vsc:B:B1_B2_B3_B4	B_B C980 C1017 C1023 C1027:B_B C974 C987 C1017 C1021:B_B C974 C976 C980 C985:B_B C1115 C1168 C1170 C1175
4m0c:A:A1	A_A H26 E29
8hfp:C:C1	C_C H14 C16 C20 C64
3qsu:D:D1	D_D Q49 H53
2i1o:A:A1_A2	A_A C333 C350:A_A C330 C348
2igi:A:A1_A2	A_A D11 E13 D162:A_A E13 H157
5n1p:A:A1	A_A D77 H126 H130
8vkt:A:A1_A2	A_A H71 D104 E164:A_A D104 E139 H352
4ar9:A:A1	A_A H465 H469 E499
4ca1:A:A1_A2	A_A C98 C105 H117 C121:A_A C128 C135 H147 H152
5lpi:C:C1_C2_C3_C4	C_C C845 C848 H862 C869:C_C C754 C757 H772 C777:C_C C812 C815 H827 C833:C_C C783 C786 H798 C803
5fry:A:A1	A_A C151 E174 C177 C185
2x7m:A:A1_A2	A_A H125 H129 H135:A_A C136 C141 C160 C163
1mxg:A:A1	A_A H147 H152 C166
1kk1:A:A1	A_A C60 C63 C72 C75
3rqz:C:C1_C2	C_C D8 H10 D34 H149:C_C H114 H147
6nzu:D:D1	D_D D71 C95
5tsa:A:A1_A2_A3_A4	A_A E181 Q207 E211:A_A H177 E276:A_A D144 H275:A_A D89 H286
6iz2:A:A1_A2	A_A E52 H136:A_A H15 H19
2h6t:A:A1	A_A H197 D214
5ofs:A:A1	A_A H28 E52 H55
1a5t:A:A1	A_A C50 C62 C65
3kl7:A:A1_A2	A_A H79 H81 H146 D168:A_A D83 H84 D168 H215
2g64:A:A1	A_A H19 H44 H46
6dkh:C:C1	C_C C96 C99 C107
4j4k:A:A1_A2	A_A E217 H220 D255 D257:A_A E181 E217 D245 D287
3wf7:A:A1	A_A C240 H245 H251 C254
3dcp:A:A1	A_A H14 H40 H260
1ld3:A:A1	A_A H183 E264
7emf:0:01	0_0 C281 H306 C309
4lgj:A:A1	A_A H183 H187 D194
6za0:A:A1	A_A N137 H141 H192 H214
4f14:A:A1	A_A D969 E970
5z8l:A:A1_A2	A_A C149 C151 H172 C175:A_A C164 C191 C194
3vpb:E:E1	E_E C6 C9 H27 C29
2zo4:A:A1_A2	A_A H70 H72 H171 D190:A_A D74 H75 D190 H233
4qge:A:A1	A_A H256 H292 D293 D402
2hh5:A:A1_A2	A_A C25 H164:A_A D139 H142
7vsp:A:A1_A2_A3_A4	A_A C16 C19 C36 C39:A_A C28 D31 H44 H53:A_A C59 C62 C79 C82:A_A C71 D74 H87 H96
8tzv:B:B1	B_B C23 C72
2nxf:A:A1_A2	A_A D13 Q15 D60 H267:A_A D60 N96 H228 H265
3l22:A:A1_A2	A_A E142 H220:A_A D209 E211
7qqd:A:A1	A_A C103 C156 C162 H167
2oog:D:D1	D_D E87 D89 E169
4a3n:A:A1_A2	A_A H128 H132 P133:A_A E119 E122
5xp6:A:A1_A2	A_A H120 H122 H189:A_A D124 C208 H250
4ojv:A:A1_A2	A_A H128 H130 H213 D244:A_A D132 H133 D244 H326
1yo7:A:A1	A_A H42 D46
6tlx:A:A1_A2	A_A C602 C605 C646 C649:A_A C571 H575 C639 C641
5vbn:B:B1_B2	B_B C2158 C2187 C2190:B_B C2221 C2224 C2236
6sym:A:A1	A_A C46 C49 C95 C98
2pgq:A:A1	A_A D1A K9
6r1d:A:A1	A_A C24 C27 C90 C93
2ptz:A:A1_A2	A_A D243 E291 D318:A_A H0 E27
4z0o:A:A1	A_A C33 C38 C60 C71
3irb:A:A1	A_A C49 C52 C63 C66
2dxn:A:A1_A2	A_A D8 H10 D50 H197:A_A D50 N80 H156 H195
5svy:A:A1	A_A C413 C416 C435 C446
1v72:A:A1	A_A E163 D167
7xgt:B:B1_B2	B_B H76 H78 H155 D207:B_B D80 H81 D207 H270
7qgs:A:A1_A2_A3	A_A H347 C351 C364 C369:A_A H378 C382 C388:A_A H402 C406 C411 C414
1f4t:A:A1	A_A E139 H178
8izt:A:A1	A_A D31 D33
6ms4:B:B1	B_B C34 C37 C53
4ql5:B:B1	B_B E25 G29
8qgr:B:B1	B_B C66 C68 C80 C83
2pq8:A:A1	A_A C210 C213 H226 C230
5fbf:A:A1_A2_A3	A_A W21 H26 D139:A_A D65 H80 H135 D139:A_A H145 H168 D172
2fbh:A:A1_A2	A_A S29 H30:A_A H43 H47
4mth:A:A1	A_A H107 E121
5l6q:A:A1	A_A S1 D90
7jl5:B:B1_B2	B_B C507 H510 C533 C541:B_B C554 H556 C579 C587
1joc:A:A1_A2	A_A C1374 C1377 C1402 C1405:A_A C1358 C1361 C1385
6r1g:A:A1	A_A H51 H55 H140
6scp:A:A1	A_A E78 D79
7ynx:A:A1_A2_A3_A4_A5_A6_A7_A8	A_A C33 C34 H44 H50:A_A C62 C65 C75 C78:A_A C102 C105 H118 C125:A_A C164 H166 C183 C186:A_A C20 H22 C43:A_A C87 C90 H101 C108:A_A C145 C148 H169 C172:A_A C122 H134 C136
5udx:F:F1	F_F E55 D82 H190
7t92:C:C1_C2	C_C C417 H419 C436:C_C C405 C422 C425
7vpx:N:N1	N_N C6 H24 H30
3ql9:A:A1_A2_A3	A_A C171 C174 C197 C200:A_A C220 C223 C240 C243:A_A C232 C235 C265 C268
4m3o:A:A1	A_A C73 C78 C111 H115
4ybg:A:A1	A_A E131 C288 H291 C300
3h0n:A:A1	A_A C147 C152 C168 C172
4ao7:A:A1	A_A H220 E233
3neh:A:A1_A2	A_A H9 D11 E107:A_A E107 H174 H194
7rft:A:A1	A_A E150 H182
6pw8:A:A1	A_A E937 E956
1f35:A:A1_A2	A_A D116 E119:A_A D18 D20
6y4e:A:A1	A_A H72 H74 H117
4ej6:A:A1	A_A C88 C91 C94 C102
3kbf:A:A1	A_A H62 H70 H79 D82
2bjr:A:A1	A_A H86 C174 C176 C179
4qhj:A:A1	A_A H69 H73 H80
2nx9:B:B1	B_B D17 H207 H209
6bmn:B:B1_B2	B_B C128 C131 H141 C148:B_B C142 C145 H155 C162
8gn3:B:B1_B2	B_B C724 C727 H740 H744:B_B C752 C755 H768 H772
2ch9:A:A1_A2	A_A H145 H147:A_A H146 H149
6ghc:B:B1_B2	B_B C207 C248 C251:B_B H228 H252 H256
8qf5:H:H1	H_H E219 H223
3bb6:C:C1	C_C H30 D32 H83
4rvn:A:A1	A_A C251 H258 C313 C315
7dsf:A:A1	A_A D257 D260
2yhw:A:A1	A_A H569 C579 C581 C586
2c2u:A:A1	A_A D36 H39 H50 E55
6m4u:F:F1_F2	F_F H2028 E2032:F_F D2077 H2106
8c4d:A:A1	A_A H27 H132 C140
8aol:A:A1	A_A H502 H505
2zet:C:C1_C2	C_C C81 C84 C107:C_C C64 C67 C89 C92
5i72:B:B1_B2	B_B C31 C34 C53:B_B C44 H47 C64 C67
3io3:A:A1	A_A C280 C283
2iw0:A:A1	A_A D50 H104 H108
7k30:A:A1_A2	A_A E76 H84 H139:A_A C249 C252 C268 C271
6qba:A:A1	A_A H170 D175
5b0h:A:A1	A_A H35 D39 H120
7f09:C:C1	C_C G359 D364
2j44:A:A1_A2	A_A D198 H202:A_A D153 E182
8jij:A:A1_A2	A_A C462 C472 C474 H477:A_A H380 D384
4hno:A:A1_A2_A3	A_A H69 H109 E144:A_A H181 D228 H230:A_A E144 D178 H215 E260
1z05:A:A1	A_A H245 C255 C257 C262
5xwm:D:B1_D1_D2	D_B H277 H281:D_D C29 Y78:D_D H299 H328 H332
8t1t:A:C1	A_C E126 H142
6aa4:A:A1_A2	A_A D82 H84 H159 H161:A_A E41 H164
2v1z:A:A1	A_A H133 H138
9icv:A:A1	A_A D190 D192
5egh:B:B1_B2	B_B D32 S71 D240 H241:B_B D193 H197 H354
1e4m:M:M1	M_M H56 D70
2f6s:A:A1	A_A H0 H2
4rfl:A:A1	A_A D148 H226 H247
1evl:A:A1	A_A C334 H385 H511
5kar:A:A1_A2	A_A D93 N134 H236 H277:A_A D28 H30 D93 H279
3urz:B:B1_B2	B_B E111 E115:B_B E137 D139
3ly0:B:B1_B2	B_B H11 D13 E137:B_B E137 H210 H231
4qgs:A:A1	A_A D194 H198 H267 H281
4c98:A:A1	A_A H23 H42
7nz9:B:B1	B_B H223 C289 C292 D348
1qe3:A:A1	A_A T2 H3
3ddt:A:A1_A2	A_A C6 H9 C26 C29:A_A C18 C21 H35 C38
4hy4:A:A1	A_A C300 C303 H320 C327
2ofk:A:A1	A_A C4 H17 H175 C179
4hk5:D:D1_D2	D_D H12 H14 H195 D323:D_D H379 H384
3lkv:A:A1_A2_A3	A_A E64 D66:A_A E130 D286:A_A A210 S213 T240
1k24:A:A1_A2_A3	A_A H13 D15 H35:A_A E28 H30:A_A D69 H128
8z4l:B:B1	B_B C71 C81 C84 C87
4fgl:D:D1	D_D H173 H177 C222
3elf:A:A1_A2	A_A H96 H212 H252:A_A H344 H346
6ya6:B:B1	B_B C296 C299 H309 H315
6lqf:A:A1_A2_A3	A_A H557 C559 D575 H669:A_A C691 C694 C724 C727:A_A C677 C680 H699 C702
5we2:B:B1	B_B C479 C482 H488
3s6l:D:D1_D2	D_D D45 H59:D_D Q93 H108
6h4l:A:A1	A_A D70 H72
6hat:B:B1	B_B C293 H385 C389 C394
7lyb:N:N1_N2	N_N C50 C53 C71:N_N C66 H68 C83 C86
3nty:A:A1	A_A H248 E292
4la2:B:B1	B_B H125 E129 H163
3rxz:C:C1	C_C D31 H104 H108
5c0q:B:A5_B1_B2_B3_B4	B_A E334 H448:B_B D117 H161 H165:B_B D171 H173:B_B E327 E330:B_B E346 E398
4b9p:A:A1	A_A E19 E126
5elh:A:A1_A2_A3	A_A C45 C53 C61 H65:A_A C90 C100 C106 H110:A_A C130 C140 C147 H151
7mo5:B:B1	B_B C852 C855 C866 C869
6s8y:A:A1	A_A H33 E103
2imz:A:A1	A_A E424 H429 X440
4e2x:A:A1	A_A C13 C16 C54 C57
7vb3:B:B1_B2	B_B C115 C118 C121 C129:B_B C63 H85 C199
6yoo:A:A1	A_A E112 K117
2c1d:A:A1_A2	A_A H190 D266:A_A D78 D81
8hfd:A:A1_A2	A_A H59 H61 K146 D315:A_A K146 H186 H242
1lbu:A:A1	A_A H154 D161 H197
5cht:A:A1_A2	A_A C175 C178 C226 C229:A_A H334 C336
6jni:A:A1_A2	A_A E62 H87 H90 H140:A_A C112 C119
8i3x:A:A1_A2	A_A C35 C38 H61 C64:A_A C56 H58 C77 C80
7k3t:A:A1	A_A H41 C145
8qbn:Y:Y1	Y_Y C17 C73 C76
1ibq:A:A1_A2_A3	A_A S1 D148:A_A H28 D54 D118:A_A D32 D214
6ki3:B:B1_B2_B3	B_B H182 D231 H233:B_B E142 D179 H218 E271:B_B H78 H115 E142
3coq:A:A1_A2	A_A C11 C14 C21:A_A C11 C31 C38
2e88:A:A1	A_A D225 H227
2xb3:A:A1_A2_A3	A_A D31 D34 D54:A_A E87 D91:A_A H142 E163
6qv5:A:A1	A_A H50 H136
8ad2:A:A1	A_A H115 E123
1jw9:B:B1	B_B C172 C244 C247
2i0o:A:A1_A2_A3_A4_A5	A_A H59 D425 D518:A_A E37 D57 D518:A_A D38 C517 N569:A_A Q452 E455:A_A H71 E110
6gs2:B:B1	B_B C202 C205 C224 C226
8aas:A:A1	A_A C218 C221 H239
5tq2:A:A1	A_A H67 H94 D100
4xb6:D:D1	D_D C241 C244 C266 C272
3m52:A:A1	A_A D55 D58
6xi7:B:B1_B2_B3	B_B H139 C165 C168 C184:B_B C152 C155 H173 C176:B_B H103 E125
2ox8:A:A1_A2_A3_A4	A_A F644 E650 E731:A_A D616 D733:A_A D670 E674 H702 D707:A_A E662 H664
3ife:A:A1_A2	A_A H79 D142 D199:A_A D142 E177 H381
4a4j:A:A1	A_A D13 C14 C17
8ztq:A:A1	A_A C48 D50 C73 C134
3eph:A:A1	A_A C375 C378 H397 H403
4ly5:A:A1	A_A H69 H129
4ac1:X:X1_X2_X3	X_X E271 E274:X_X D167 N213:X_X E131 Q193
6own:B:B1	B_B C118 V119
6yxe:A:A1_A2	A_A C41 C44 C61 C64:A_A C56 H58 C78 C81
1tkj:A:A1_A2	A_A H85 D97 D160:A_A D97 E132 H247
4n0l:A:A1	A_A H86 C88 C115 C118
9c9m:A:A1	A_A H12 H16 C40 C43
5uej:B:B1_B2	B_B D101 E136 H350:B_B H68 D101 E164
5xkx:A:A1	A_A H265 E269 H338
1v33:A:A1	A_A C106 H108 C114 C117
3fqm:A:A1	A_A C39 C57 C59 C80
6voq:A:A1	A_A E74 H93 H95 H160
2cjl:A:A1	A_A H67 E182
9egw:A:A1_A2_A3	A_A C447 C450 C465 C468:A_A C473 C493 C502 C509:A_A C495 C506 C509
8weo:A:A1	A_A H348 H352 H358
8bpb:C:C1_C2	C_C C289 C292 C315 H318:C_C C274 C277 H297 C300
8efg:A:A1	A_A E112 H149 H174
2c5w:B:B1	B_B H395 E435
7rag:B:B1	B_B H49 E65 H133
7zjm:B:B1	B_B H12 E113
2wbt:A:A1_A2	A_A C77 C80 H93 E98:A_A C103 C106 H119 H124
3lju:X:X1	X_X C21 C24 C41 C44
1c7k:A:A1	A_A H83 H87 D93
3szy:A:A1_A2	A_A D29 T68 D250 H251:A_A D211 H215 H377
6zif:A:A1	A_A H69 D73
4u8h:D:D1	D_D C1210 C1213
7tgq:A:A1	A_A C513 C521 C527 H531
3mhs:C:C1	C_C C73 C76 H88 C92
3r0d:A:A1_A2	A_A H61 H63 H214:A_A H97 E138
3khi:A:A1	A_A H112 H149 H153 E212
7mo1:B:B1	B_B C664 C667 C678 C681
5gpy:A:A1	A_A C129 C132 C154 C157
8h1f:A:A1_A2	A_A E357 C402 H404:A_A H353 E357 C371
4y7l:A:A1	A_A H978 E1085
1cvr:A:A1	A_A E152 H211
4r9g:A:A1_A2	A_A D89 H195 E387:A_A H317 E320
6nu9:A:A1	A_A H164 E166
2q0y:A:A1	A_A E59 H98
7ljh:A:A1_A2	A_A D121 E156 H374:A_A H94 D121 D184
3wx7:A:A1	A_A D36 H93 H97
7ui4:A:A1	A_A C368 C370 C373 H395
5yat:A:A1_A2	A_A C46 H69 E70 C156:A_A C100 C103 C106 C114
6nds:A:A1	A_A D17 H207 H209
3oru:A:A1	A_A C126 C143 C207
4q8r:A:A1_A2	A_A E231 D235:A_A D61 E73
7mdh:B:B1_B2	B_B D201 H229:B_B C175 H229
7t91:A:A1_A2	A_A C237 C242 H255 H260:A_A C270 C275 H291 H295
6cqg:A:A1	A_A H167 H171 H180
5nqz:A:A1_A2_A3_A4	A_A H168 E202:A_A D266 H270:A_A H324 H326:A_A H325 H327
1nvt:B:B1	B_B E22 H23
7d1b:A:A1	A_A D181 E214 H335
5tkq:A:A1	A_A H47 E53 H91
3kwd:A:A1	A_A H75 H107
3pn3:A:A1_A2_A3_A4_A5	A_A C91 H133 H137:A_A Q48 E134:A_A D40 E63:A_A E160 E179:A_A D30 D34
6owu:F:F1	F_F F153 N171
3ayv:D:D1_D2_D3	D_D H55 H96 E136:D_D E136 D162 H187 E223:D_D H165 D196 H198
3t7l:A:A1_A2	A_A C753 C756 C777 C780:A_A C769 C772 C797 C800
4e45:D:D1	D_D Q76 D80
7w3r:A:A1	A_A C2018 H2020 C2062
4x9j:A:A1_A2_A3	A_A C107 C112 H125 H129:A_A C137 C140 H153 H157:A_A C165 C168 H181 H185
4p36:A:A1	A_A E18 C106
6wcw:A:A1_A2_A3_A4	A_A C721 C724 C747 C750:A_A C826 H877 C881:A_A C891 C894 H920 C923:A_A C912 C929
3dra:B:B1	B_B D294 C296 H349
4gqt:A:A1	A_A E30 H198
5xve:A:A1	A_A C425 C428 C476 C479
2ev6:B:B1	B_B E11 H77 E102
9etz:d:d1	d_d H119 C134 C137
4bt2:A:A1	A_A H194 H196 H207 E253
2p9x:C:C1	C_C E18 K72
7poh:B:B1	B_B C4 C7 C61 C64
1ci3:M:M1	M_M H55 E125
8xo6:B:B1	B_B D458 E461
8sjb:A:C1	A_C H83 C87
4yzi:A:A1	A_A D40 H44 H47 D142
3cp0:A:A1	A_A H24 D42
1zme:C:C1_C2	C_C C37 C44 C50:C_C C34 C53 C60
2q1z:B:B1_B2	B_B H6 H31 C35 C38:B_B H141 E147 H177
2o6p:A:A1	A_A D133 H135
7kmm:A:A1_A2_A3	A_A D510 H512:A_A E182 H521:A_A P28 R155
2v08:A:A1	A_A N27 E29
3eb9:B:B1	B_B H56 H97 D98
4yxp:B:B1	B_B C400 H479 C483 C488
3jb9:c:c1	c_c C415 H455 H502
1yw4:A:A1	A_A H56 E59 H149
5fgs:D:D1_D2	D_D K185 D292:D_D D212 Q216
4k69:A:A1_A2	A_A H25 E78:A_A H101 H233
3v1e:A:A1_A2	A_A E12 H16:A_A H35 H39
5r4q:A:A1	A_A W149 H171
1io0:A:A1	A_A D288 H318
6mn3:A:A1	A_A C189 H241 C247 C250
4mtu:A:A1	A_A D45 H142
6ndh:C:C1	C_C S184 D283
3g4h:A:A1	A_A E18 N154 D204
6xt6:A:A1	A_A D214 D216
3l00:A:A1	A_A C5 C24 H29 H85
2vqg:B:B1_B2	B_B D65 D69:B_B D65 D69
7ymo:A:A1	A_A C141 C144 H162 C165
7shk:L:L1	L_L C356 C358 C400 C404
4e4w:B:B1_B2	B_B H703 E707 C817:B_B E707 C848 H850
5nl4:B:B1	B_B K6 H68
2yxo:B:B1	B_B E80 H108 H154
4k1t:A:A1_A2	A_A H123 E153:A_A H39 D77
5jvi:E:E1	E_E H142 H146 E166
2pve:A:A1	A_A C6 C9 C39 C42
7skl:A:A1	A_A H352 H356 E376
2v9l:A:A1	A_A H141 H143 H212
5b5x:A:A1	A_A C119 H179 C203
6uwa:A:A1_A2	A_A C115 C118 H140 C143:A_A H102 C132 C135 C151
5nof:A:A1_A2	A_A E48 E198:A_A D78 D217 E218
4qn9:A:A1_A2	A_A H185 H187 H253 D284:A_A D189 H190 D284 H343
1zkp:A:A1_A2	A_A H59 H61 H134 D155:A_A D63 H64 D155 H211
1ec5:A:A1	A_A E10 E36 H39
6vz0:A:A1	A_A D2 H6
7auf:A:A1	A_A E52 Q58
5ho1:A:A1	A_A H245 D247 H283
2q7s:B:B1	B_B H31 D54 H171
1l7o:B:B1	B_B C697 E699
3m4w:A:A1	A_A D174 D176
2j6a:A:A1	A_A C11 C16 C112 C115
1q1a:A:A1	A_A C143 C146 C170 C173
2y20:C:C1	C_C E286 H305
6gf7:A:A1_A2_A3_A4	A_A H71 H91:A_A H29 D31:A_A H50 E62:A_A K52 E106
6xqi:D:D1	D_D H33 H71 C76 H78
4l63:A:A1	A_A H179 H183 H189
3lrq:D:D1_D2	D_D C15 C18 C36 C39:D_D C28 C31 C51 C54
6szw:C:C1	C_C D185 H187
3b4n:A:A1_A2_A3	A_A D173 D195:A_A H176 D178:A_A D173 H176
5j1l:C:C1	C_C H169 D173 H252
8xjg:A:A1_A2	A_A E79 E82:A_A E10 E88
8q6u:B:B1	B_B H107 E112
3ze3:D:D1	D_D E28 E76
2d3k:B:B1	B_B E108 D112
8e5d:A:A1	A_A H1345 C1373 C1376
3lec:A:A1	A_A D137 H162
6yj1:A:A1	A_A H49 D53 H135
7sr2:B:A1	B_A H486 E494
6ull:A:A1	A_A H12 D15 H113
6imq:B:B1_B2	B_B C129 C132 C148 C151:B_B C140 C143 H155 H161
6et9:E:E1	E_E C20 C23 C37
5tda:A:A1_A2_A3	A_A C99 C124 C127 C149:A_A C127 C151 C163 H166:A_A C112 C115 H133 H136
3o0f:A:A1	A_A H19 D24 H49 H262
8db4:E:E1	E_E H48 S85
1onw:A:A1_A2	A_A H68 H70 K162 D285:A_A K162 H201 H230
5m45:C:C1	C_C C74 C76 C124 C127
1v3w:A:A1	A_A H65 H87
6usm:B:B1	B_B E72 H81 H83
7nvu:M:M1	M_M C15 H18 C34 C37
4b6d:A:A1_A2	A_A C300 C303 H324 C327:A_A H287 C316 C319 C335
2dt8:A:A1	A_A E67 E105
6o19:A:A1_A2	A_A C292 C308 C311 C318:A_A C295 C302 C308
4uej:A:A1	A_A C89 C92 C95 C103
8j80:B:B1	B_B H70 D74 H164 D244
5fd3:A:A1_A2_A3_A4_A5_A6	A_A C525 C527 C532 C537:A_A C532 C546 C551 C554:A_A C525 C539 C546 C549:A_A C599 C601 C606 C611:A_A C606 C620 C626 C629:A_A C599 C613 C620 C624
2hvw:A:A1_A2	A_A C24 C54 H59 C66:A_A H71 C99 C102
2zwi:B:B1	B_B H270 D311
1g12:A:A1	A_A H117 H121 D130
4i1f:A:A1_A2_A3_A4_A5_A6_A7_A8	A_A C150 C154 C212 H215:A_A C166 C169 C196 C201:A_A C238 C241 C260 C263:A_A C253 H257 C289 C293:A_A C332 C337 C352 C360:A_A C365 C368 H373 C377:A_A C418 C421 C436 C441:A_A C446 C449 C457 H461
1nn7:A:A1	A_A H105 C132 C133
2hf1:A:A1	A_A C11 C14 C29 D32
3fm2:A:A1	A_A E57 H59
6t0y:A:A1_A2	A_A C182 C183 C242 C245:A_A H80 C125 H142
3o4n:A:A1	A_A D64 D121
5o6c:A:A1_A2_A3_A4_A5_A6	A_A C4390 C4393 H4413 C4416:A_A C4408 H4410 C4437 C4440:A_A C4506 C4509 C4537 C4540:A_A C4549 H4552 C4631 C4634:A_A C4561 C4564 C4579 C4582:A_A C4565 C4600 C4614 H4620
1rut:X:X1_X2_X3_X4	X_X C23 C26 H44 C47:X_X C50 C53 C73 D76:X_X C115 C118 C137 D140:X_X C87 C90 H109 C112
3rsn:A:A1	A_A C23 C26 C56
6ktq:A:A1	A_A E20 H205 H207
2qha:A:A1	A_A H1 H23 E336
4oln:A:A1_A2	A_A C7 C10 C27:A_A C43 C49 C59 C62
1rk6:A:A1	A_A C96 H220 H250
2gvi:A:A1_A2_A3	A_A H16 H18 C20 C61:A_A C174 C177 C195 D198:A_A H102 E153
4n7s:A:A1_A2	A_A E258 D262:A_A E375 R379 D382 N384
6y2c:B:B1	B_B S259 D304 H334
8ih7:A:A1	A_A D17 H199 H201
3fmu:A:A1_A2_A3	A_A D30 E37:A_A E36 E40:A_A E36 E40
5u00:A:A1	A_A H660 H696 D697 D808
4m6r:A:A1	A_A H115 H117 H195
