2yjg:A:A1	A_A V125 E126 E128
7yua:A:A1_A2_A3	A_A V226 N227 Y241 D260 G264:A_A V126 Q128 D182 V183 R184:A_A D111 H287
3ibs:A:A1	A_A S15 S17
1k4i:A:A1	A_A E37 H153
4rrk:A:A1	A_A S133 F134
5ypx:A:A1_A2	A_A D71 D73 D75 Y77 E82:A_A D107 N109 D111 Y113 E118
3s5e:A:A1	A_A A114 K116 T119
8j3o:B:B1	B_B L136 L137 D160 Y266
6g60:A:A1	A_A D14 X54 D296 H297
5m1m:A:A1_A2	A_A N80 E126 D130:A_A T83 E123 E126
8jb3:A:A1	A_A D174 D411
2zan:A:A1	A_A S181 D234
6f95:E:E1	E_E D8 E151
5gjn:A:A1_A2	A_A F247 P248 D249 T250:A_A G219 Y259
4jdp:B:B1	B_B D11 D13 D209
5vx0:A:A1_A2_A3	A_A V27 D30 G176 W177:A_A T103 A104:A_A N124 W125
5dka:B:B1	B_B D36 K98
5co8:A:A1	A_A E122 D141 D143
4qbl:E:E1	E_E E10 D73 E89 I90
6vww:A:A1	A_A S262 P263 D283 Q285
3wqc:B:B1	B_B H351 C353
8qcg:A:A1	A_A N162 D176
8pzv:B:B1	B_B L194 G196 D212 D246 D248
8h0l:B:F1	B_F N16 R17
3adc:A:A1	A_A S14 D74
5xw2:A:A1	A_A R59 T290
5tnv:A:A1	A_A E173 D203 H232
7k30:A:A1	A_A G169 L170 A172 E205 L237 Y299
4zck:A:A1	A_A G481 E570
6mo4:A:A1	A_A H78 H237 D241
6wcd:A:A1	A_A N9 E34
8bp1:A:A1_A2	A_A D8 L10 D180:A_A L122 N123 R124
3hyk:A:A1	A_A D8 E58
2p8e:B:B1	B_B D60 D243 D286
4pf4:A:A1	A_A K42 D161
2bz0:A:A1	A_A H51 S52
3mx3:A:A1	A_A F58 D61 E62
5th3:A:A1	A_A D76 D93 F94
4d0s:A:A1	A_A D223 Q224 A226
6vzu:A:A1_A2	A_A D346 E359:A_A E359 N361
4tqr:A:A1_A2_A3	A_A D7 F8 D105:A_A A181 I186:A_A D105 E106
4jzv:A:A1_A2	A_A G52 E72:A_A E68 E72 E115
3fnb:A:A1	A_A R366 F368 S369
5dac:A:A1	A_A T41 Q159
6vc7:A:A1	A_A T301 T302
1cip:A:A1	A_A S47 T181
5n2q:A:A1	A_A F92 L95
3ehg:A:A1	A_A E289 N293
3cg4:A:A1	A_A D13 D56 M58
4rsr:A:A1	A_A Y290 Q292
5a65:A:A1_A2	A_A E157 E159:A_A D145 E159
3ocu:A:A1	A_A D64 N66 D181
8ciy:A:A1_A2_A3	A_A R205 D208:A_A R240 D243:A_A S346 M362
5mwl:A:A1_A2	A_A K19 D439:A_A S402 D437
8e91:B:B1	B_B T126 D184
4xj5:A:A1_A2	A_A D131 D133:A_A D131 D133 D193
5e4x:A:A1	A_A D345 S347
4x8d:A:A1	A_A E11 D406
2xsq:A:A1	A_A G59 E80
3l8h:A:A1	A_A D7 D9 D126
7qpi:A:A1	A_A H226 P227 L228
2ap9:A:A1	A_A D235 H301 H304
3sm4:B:B1	B_B D119 E129 L130
4ww9:A:A1	A_A K52 D182
5xjp:A:A1	A_A E19 D20 D63 K65
9byu:A:A1	A_A D229 Q231 D233
6xxq:A:A1	A_A S35 D46 D48
7ljl:A:A1_A2_A3	A_A D69 D71 D121:A_A D69 D71:A_A N258 L260
4eo7:A:A1	A_A P279 K282
3g4s:C:C1	C_C K85 G86
3l23:A:A1	A_A H196 D247 H273 E306
2b06:A:A1	A_A G42 E62
6jil:B:B1	B_B E269 E271
6f45:B:B1	B_B D577 D579 N595
2wag:A:A1	A_A Y150 I154 K155 A157 R178
3mbo:C:C1	C_C E282 G285
3fw9:A:A1	A_A D45 D47
2qb8:A:A1	A_A D41 D127 H148
1vzm:A:A1	A_A E11 E15
7ktn:A:A1	A_A D330 D332
8uh7:C:C1	C_C T57 E108
7vb3:B:B1	B_B E52 E140
4urf:A:A1	A_A S237 Y238
2obb:A:A1	A_A D6 D8 D94
3rmv:A:A1	A_A H151 E155
5o6h:A:A1	A_A L254 K257 V259
3keo:B:B1	B_B H105 M110
2p97:A:A1	A_A H66 D136 D180
7pyt:B:B1	B_B R43 P44 D45
5yjj:A:A1	A_A S441 D496
4ppm:A:A1	A_A A722 Y725 V728
6ojr:A:A1_A2_A3	A_A D372 K375 T390:A_A R353 I354 E356:A_A I412 Q469
6gvd:A:A1_A2	A_A D419 D454:A_A R383 I384 G385 D425 P426 D427
4cs4:A:A1	A_A E396 S399
1ido:A:A1	A_A S142 S144 T209
7x4q:A:A1	A_A D67 D139
5ywt:A:A1	A_A D18 E20 D200
5cfa:A:A1	A_A E18 K21 D23 V25 E32
1dqn:A:A1	A_A D125 E126
3pt1:A:A1	A_A D254 N255 D292
7qow:B:B1_B2	B_B D12 T118 E268:B_B A45 Q46 G48
1gro:A:A1	A_A D307 D311
4j4h:A:A1	A_A Y129 E245 L247 I249
8uua:Z:Z1	Z_Z N32 A51 R52
7f1n:A:A1	A_A G199 V202 D203 D258 V260 A269
1k6d:B:B1	B_B M27 H77 I78 T80
6gs2:B:B1	B_B H189 D262
3kta:A:A1	A_A S40 Q145
7f7c:A:A1	A_A D87 D89 D208
3go6:A:A1	A_A D236 A276 V279 C285
7bcz:C:C1	C_C D129 E131
6w0m:A:A1_A2	A_A V77 S86 R87 P88:A_A C241 L243 V246
4lnj:A:A1	A_A T8 T10 S196 T201
6tnh:B:B1	B_B S14 T263 R269
2gfq:A:A1	A_A H92 H141 E154
6d71:A:A1	A_A T18 P35
4yor:A:A1	A_A D7 D80
1y8a:A:A1	A_A D5 E7 D207
2pls:I:I1_I2	I_I D413 D415 D420:I_I D413 D415
2wl9:A:A1	A_A P111 D155
7eqm:A:A1	A_A Q146 Q149 D174
8q2n:A:A1	A_A D13 S43
6apu:A:A1	A_A T22 R25
6i24:A:A1	A_A S223 L226
6ll8:A:A1_A2_A3_A4	A_A H8 D12 D72:A_A D14 D72 H94 D146:A_A D12 D146:A_A P43 E44 K186
1swv:A:A1	A_A D186 D190
3t1r:C:C1	C_C E84 D97
8xlz:A:A1	A_A D95 Q213
6l4n:A:A1_A2_A3	A_A G10 P11 F12:A_A D8 I9 G10 F12 T13:A_A D22 N25
7drp:A:A1_A2	A_A D269 E282:A_A E282 N284
4ak8:A:A1	A_A Y208 S210
4ols:D:D1	D_D W263 G266
2qoj:Z:Z1_Z2_Z3	Z_Z G15 E148:Z_Z D16 A147:Z_Z G15 E148
6r1b:B:B1	B_B D40 D93
3c9u:B:B1_B2_B3	B_B D27 T41 D71:B_B D43 D71:B_B D27 D71 D207
4yds:A:A1	A_A S34 E57
1ktg:A:A1_A2	A_A K36 E56:A_A E52 E56 E103
2rio:A:A1	A_A N145 D171
5cnp:D:D1	D_D E33 E75
2fn0:B:B1	B_B E284 E420
6h21:B:B1	B_B Q27 M29
6ut5:A:A1	A_A T222 D356
7thn:B:B1	B_B F186 D187 T289
6zec:H:H1	H_H N155 S156
8h6u:A:A1_A2	A_A D102 D106:A_A N246 S250
2alf:A:A1	A_A T32 D85 E86 V127
2xu0:A:A1	A_A S115 I118 N121
5l8f:B:B1	B_B E61 E64
2c15:B:A1	B_A Q332 L333 R335
1fiu:A:A1	A_A D140 C186
8y7z:B:B1	B_B N434 M473
6sa1:A:A1	A_A T105 H106 S109
3gyb:A:A1	A_A D270 D287 S289
6yav:E:E1	E_E S8 M11
2fq1:A:A1_A2	A_A H154 E185:A_A G242 D244
4rd4:A:A1	A_A T23 T46
9fvt:A:A1	A_A D27 D28 C79 D335 H336
3cvj:A:A1	A_A H53 E57
6s3n:B:B1	B_B T98 D171
3s7z:B:B1	B_B E227 W229 T232
2odp:A:A1	A_A S242 S244 T317
6foh:A:A1_A2	A_A K18 N19:A_A E71 E73 D102
3b2s:A:A1	A_A S361 N362
2q0y:A:A1_A2	A_A H126 E145:A_A C7 D9
7v1g:A:A1	A_A S150 T217
6ctz:A:A1	A_A H201 D218
5yeu:A:A1	A_A D268 E289
3bpd:F:F1_F3_F4	F_F D10 S76:F_F E41 D43:F_F E41 D43
5c12:A:A1_A2	A_A D244 D296:A_A D244 D444
4fmo:A:A1	A_A D531 H553
7m7n:A:A1_A2	A_A D13 M14 D115:A_A D13 D115 E116
3chl:A:A1	A_A A175 T178 G180 E185 E224
1r2q:A:A1	A_A S34 T52
4hvy:A:A1	A_A A48 V49 F50 L58
3hiy:A:A1	A_A D65 D67
4brs:A:A1	A_A T116 D119
4l0j:A:A1_A2_A3_A4	A_A T632 A767 L768:A_A P759 V760 S761:A_A K723 I724 L768 K769:A_A D743 P759 V760
4uw9:A:A1	A_A D7 E178 D179
5c0p:A:A1	A_A D109 H286
5xe5:A:A1	A_A H133 E164 H269 E273
6rb7:A:A1	A_A N255 P280
2vrn:A:A1	A_A E179 E182 H185
7qou:A:A1	A_A S169 S170 S171 I173
8oxe:A:A1_A2_A3	A_A D44 D46:A_A D274 D289:A_A D289 N291
2rbk:A:A1	A_A D8 D10 D211
3qnm:A:A1	A_A D9 D11 D185
4z5z:A:A1	A_A D92 H269
6b6u:A:A1	A_A E272 D296
1xed:A:A1	A_A H112 H115
3lsn:A:A1	A_A D90 D92
2evw:X:X1	X_X S17 T35
6z2b:B:B1	B_B E10 D56
1s1m:B:B1	B_B G19 D72 E140
6gyf:B:B1	B_B K270 E333
2zsc:A:A1	A_A V41 Y42 Y45
3reu:A:A1	A_A E215 S218
1q4r:A:A1	A_A V39 I42 E43 M45
4bpw:A:A1	A_A D109 D111
3oi7:A:A1	A_A T16 T25 R69
2bji:A:A1_A2	A_A E1070 D1090 I1092:A_A D1090 D1093 D1220
4r02:J:J1	J_J Q118 T124
4zev:A:A1	A_A D29 D238
6ppw:A:A1	A_A H215 H236
1ecb:C:C1	C_C D366 D367
2e0a:A:A1	A_A E254 N258
2cbz:A:A1	A_A S685 Q713 H827 S871
2jd4:A:A1_A2	A_A D2747 L2764 T2814 D2816:A_A D2923 D2996
4p4m:A:A1	A_A D194 D196
4mdb:A:A1_A2	A_A D156 D284:A_A D156 D249
6m31:A:A1	A_A D63 D70
8vc9:A:A1	A_A D11 D56 S58
8s8e:i:i1	i_i H60 I61 R62
2jc4:A:A1	A_A N9 E34
2iut:A:A1	A_A S473 E503
3wry:C:A1	C_A N978 Y981 G983
1mb3:A:A1	A_A E9 D10 D53
5fa8:A:A1	A_A H128 E129 H150
5o26:A:A1	A_A N280 D294
3zx4:B:A1_B1	B_A R253 R254:B_B D6 D8 D202
7d8g:A:A1_A2	A_A N90 D106 D110:A_A D108 D110 D123 E126
3wjp:A:A1_A2	A_A D59 D84:A_A D43 D84 D221
7zak:B:B1	B_B V141 S142
6vrf:A:A1	A_A N146 D163
8ffu:A:A1	A_A A66 D69 V72
6jfo:A:A1	A_A A111 H154 H158
6qja:D:D1	D_D S13 F119 E120
5luk:A:A1	A_A R32 A35 F38
7zee:A:A1	A_A D41 D43 D230
8q1f:A:A1_A2	A_A D8 E169:A_A D8 N10 D170
8q6f:A:A1	A_A Q794 T797 N798 G799
6gfq:A:A1	A_A G305 N307
4f1m:A:A1	A_A D1154 D1177
4uph:A:A1	A_A D24 X64 D328 H329
6uv2:A:A1_A2_A3	A_A R130 D131 D294:A_A K53 G129 D131 Q272:A_A N302 E304 S306
7lcm:A:A1	A_A D15 D58 A60
4kg0:A:A1	A_A N116 E130
3bl5:E:E1	E_E G13 D15 S16
3ty9:A:A1	A_A T731 I737
3x0e:A:A1	A_A A140 N142 A143
6nfp:A:A1_A2	A_A D120 H122 D223 D225:A_A H97 D120 D124 D223
1cw0:A:A1	A_A D51 T63
3jwg:A:A1	A_A G37 I109
3bp1:D:D1	D_D Y65 D266 R283 Q287
1jp4:A:A1_A2	A_A D117 D120 D247:A_A E74 D117 V119
1suz:A:A1	A_A D74 D90
4dfd:A:A1	A_A D12 G14 D176
2z2p:A:A1_A2	A_A E268 E284:A_A D67 E69 D127
4jx0:A:A1	A_A S231 D234 N236 N337 E338
3go2:A:A1_A2	A_A D217 E243 E267:A_A Y247 T268
4tsh:A:B2	A_B A60 N62
2ght:A:A1	A_A N96 D98 N207
4dn5:A:A1	A_A N520 D534
4knv:A:A1	A_A D12 D14 D189
4oke:B:B1_B2	B_B D6 E8 D145:B_B E37 R66 Q67
3d1r:A:A1	A_A L194 M197 S200 V202
8oi7:A:A1	A_A A22 V23 S25 L28
5x6a:A:A1	A_A A38 D40
3t2c:A:A1_A2_A3	A_A K232 D234:A_A D52 D53 D132 D234:A_A D11 H18 D52 Q95
5g4a:A:A1_A2	A_A D47 D49:A_A D47 D49 E87
3bzn:A:A1	A_A E284 E416
3fdg:B:B1_B2	B_B H11 D13 E137:B_B E137 H210 H231
6ai5:A:A1	A_A E8 D12
8wwq:A:A1	A_A N175 R178 F263 N264
6c6k:B:B1	B_B K153 G155 Y159
1g5t:A:A1	A_A T42 E128
2br4:A:A1	A_A D160 H162 D187
2b82:A:A1	A_A D44 D46 D167
8e5d:A:A1	A_A E1381 T1382 L1384 N1415 N1417
3wnb:A:A1	A_A R14 H48
5f2v:T:T1	T_T D72 E139
7rf0:B:A2_B1	B_A P85 G87:B_B P83 A107 G109
4ffl:A:A1_A2	A_A E227 E239:A_A E239 D241
1wyw:A:A1_A2	A_A Q283 D284 K285 V286 H287 Y313:A_A I136 Y152 T190 N191
6xb9:A:A1	A_A R125 Q130
3i8b:A:A1	A_A E189 L191 T240
7cen:A:A1	A_A E29 F43 H64
3kc2:A:A1_B2	A_A D19 D21 D298:A_B G134 Q139
6gl0:A:A1	A_A D288 T290
2yxh:A:A1_A2	A_A E34 D60:A_A E34 E37 E53 D56
5gke:A:A1	A_A E179 Q192
3ngq:A:A1	A_A D410 N412 H529
7ef6:A:A1	A_A D12 D14 D184
5eqn:A:A1	A_A H150 H288
3n8b:A:A1	A_A T19 S21
5yuy:A:A1_A2	A_A D8 M9 D103:A_A D8 D103 E104
5dzq:O:O1	O_O G179 S180
8is9:A:A1_A2_A3	A_A N164 D168:A_A D48 D52:A_A D48 D52
1rdq:E:E1	E_E N171 D184
4rn3:A:A1	A_A D16 D18 D173
2uub:I:I1	I_I L40 V41
6yx3:A:A1	A_A G14 K15 V16 R17
4tx8:A:A1	A_A R330 A333
1v98:A:A1	A_A H79 E130
2dkg:A:A1	A_A N103 D104
2fbx:A:A1	A_A D82 E84 D216
3omy:B:B1	B_B A31 N35
3kb2:B:B1	B_B S15 D61
2c4n:A:A1	A_A D9 D11 D201
4mnd:A:A1	A_A D357 D360 D378
8yim:A:A1	A_A S23 T41
2aqx:B:B1	B_B K741 D893
7kd8:B:B1	B_B T69 E99
8ec3:A:A1	A_A D239 H351
6ixw:A:A1	A_A E125 H126 T223 D225
6lqk:A:A1	A_A D111 Y113
3t7a:A:A1_A2_A3	A_A D321 N323:A_A D309 D321:A_A S68 F70 I73
2a68:O:O1	O_O E41 P42
7r8p:A:A1	A_A D288 D301
6ia7:A:A1	A_A S19 D73
3syy:A:A1_A2	A_A D102 E112 I113:A_A S100 D102 E112
4kav:A:A1	A_A C286 S289 F291
2wll:B:A1	B_A T110 V111
7arw:A:A1_A2	A_A T76 D77 D78 D316:A_A D314 D316 T317
1til:A:A1	A_A E46 N50
3iil:A:A1	A_A P-2 E-1
2yzv:A:A1_A2	A_A D251 D253 T254:A_A T56 D57 D58 D253
6ekg:Y:Y1	Y_Y D12 D57 V59
2j4j:F:F1	F_F R48 T180 Y181
4hat:A:A1	A_A T24 T42
5oiu:E:E1	E_E S166 E191
3e2v:A:A1	A_A H277 D327
1qr0:A:A1	A_A D107 E109 E151
8h09:B:B1	B_B E208 D263
5ocr:A:A1_A2	A_A E51 G87 D299:A_A F52 N53 N55 N86 G87
4cyi:C:C1	C_C D257 S271
5z01:A:A1	A_A R255 L258
3goc:A:A1	A_A D46 D217
8dtp:B:B1	B_B S204 E227
1k77:A:A1_A2	A_A E143 D178 Q204 E240:A_A V185 D186
5kut:A:A1	A_A S430 E471
4fyp:A:A1	A_A D124 D126 D245
4ct4:B:B1_B2_B3	B_B G201 T222:B_B T173 R174:B_B R174 E175
2y4m:B:B1	B_B D102 H217
5jjg:A:A1_A2_A3	A_A D36 D38 V42 E47:A_A D103 D105 S107 M109:A_A D169 D171 D173 W175
2cea:C:C1	C_C P203 K207
7mc6:A:A1	A_A D90 E92 D273
8br1:B:B1_B2	B_B D665 D667 H753:B_B D665 D667
5eq9:B:B1	B_B D146 D149 Y269 D270
5nx7:A:A1	A_A N220 S224 E228
6hyy:A:A1	A_A D20 D22 D179
8qcc:A:A1	A_A S108 D141
3p1g:A:A1	A_A D524 E562 D583
8kda:E:E1	E_E D140 D144 D162
7a5z:A:A1	A_A S138 S159
5plk:A:A1	A_A N65 I66 E68
6y64:A:A2	A_A F207 E210
3cr3:A:A1_A2	A_A D29 D34 D36:A_A D34 D36
9dk3:A:A1_A2	A_A Q226 D241:A_A D241 E243
5bp2:A:A1	A_A T925 E926 D978
9dt7:A:A1	A_A A96 E116
4gdz:A:A1	A_A N168 P169 N172 N174
7v09:A:A1_A2_A3	A_A E164 F284 E367:A_A S245 E250:A_A E87 Q307 E311
1w23:B:B1	B_B Y127 Y154 H288 A289
1ka1:A:A1	A_A D142 D145 D294
1svw:A:A1	A_A K36 S37 T59 D75 V76
4kwd:A:A1	A_A N213 S217 E221
2uag:A:A1	A_A S116 E157
4c5c:A:A1_A2	A_A E270 N272:A_A D257 E270
4xco:A:A1	A_A K69 G70
8q3w:D:D1	D_D T112 D166
6tg7:A:A1	A_A D13 D57 N59
3cq3:A:A1	A_A T88 R91
5kue:A:A1_A2	A_A L144 D147 D148:A_A T76 V78 V85 S87
8yk9:B:B1	B_B R22 D25
5d5v:D:D1	D_D L25 V26 D28 T31 D32 I35
6dop:A:A1_A2	A_A D71 E109 D132:A_A D71 D192
7yy3:A:A1	A_A H17 S126 S127
4j6w:A:A1	A_A F39 D40 K56
2qnc:A:A1	A_A D40 D62
3no3:A:A1	A_A E59 D61 E123
3l2c:A:A1	A_A L154 S155 H157 F160
3gnz:P:P1	P_P D93 D104
4rv5:A:A1	A_A P160 G163 V166 I388
5mlz:A:A1	A_A D91 Q93
6cnl:L:L1_L2	L_L R104 R152 H230:L_L R125 R162
2j16:B:B1	B_B N93 N195 A196
6nr6:A:A1	A_A P94 D170 N172 D173
1z72:B:B1	B_B F38 A158
8g1n:A:A1	A_A R88 S91 D93
4q04:A:A1	A_A D61 D63 S65 T67
4d09:D:D1	D_D D697 H700 H730
1dek:A:A1	A_A Y42 Q85 E108
4py5:A:A1	A_A N78 E79
4ofa:A:A1	A_A I532 L534 I537
4nnb:A:A1	A_A H222 H224 E473
5t9j:B:B1	B_B E75 E134
7pu5:H:H1	H_H D353 D457
7fe0:C:C1	C_C S135 V136 T137
6su9:A:A1	A_A F25 R28
6mmo:A:A1_A2	A_A A97 L98 H101:A_A E96 A97
6om4:B:B1	B_B D148 E151
5eoy:A:A1	A_A D112 I115
2tps:A:A1	A_A D93 D112
1nui:A:A1	A_A E157 D207
2hmc:A:A1_A2	A_A T180 R182 D184 V186:A_A A80 P105
6o5o:B:B1	B_B E141 H144
6gib:B:B1	B_B D125 E131
1nrj:B:B1_B2	B_B T52 S69:B_B A215 L217
4bep:A:A1	A_A S106 F107
8bux:A:A1	A_A E235 S238
4amq:A:A1	A_A F71 D74 I77
1kxg:A:A1	A_A R214 K252
1w85:J:A1	J_A A165 F166
8jca:A:A1	A_A T34 T52
5qk0:A:A1_A2	A_A A96 E116:A_A E112 E116 E166
4y0x:A:A1	A_A N281 D293
7pw8:C:C1	C_C S218 T253
2h1c:A:A1_A2	A_A L3 L4 L35 S36 T39:A_A S36 L76 P77 F78 T110
3sy0:A:A1	A_A D150 H188
4jej:A:A1_A2	A_A G209 I211:A_A I211 T232 A233
8faz:D:D1	D_D T114 D206
4qxd:B:B1_B2	B_B E68 D106 L108 D109:B_B D106 D109 D223
1wvm:B:B1_B2_B3	B_B L405 T414 G415 Y416 G417:B_B A169 Y171 V174 Q195:B_B M175 S176 Q195 E197
5d5g:B:B1_B2_B3	B_B N6 N7 T22:B_B V89 L90 V99 I100 Y101:B_B I91 L92 R93 F97 A98
3bsu:C:C1	C_C F40 E45
6e36:A:A1	A_A S535 N537 E544
4wh5:A:A1_A2	A_A D46 D48:A_A G29 D46 D48
6j7q:A:A1_A2	A_A G63 S64 A78 D80:A_A Q26 P73
7e2b:A:A1	A_A E44 D46 E111
8q8i:A:A1_A2_A3	A_A R97 I225 A226 Q229:A_A D73 N96 G203 I204:A_A A4 R216
3crc:B:B1	B_B E172 E175 E193 D196
5dqz:B:B1	B_B H208 D221
7rwk:A:A1	A_A H80 D84
3weg:A:A1_A2	A_A D80 E83 D84:A_A D80 D84
7a19:A:A1	A_A E8 H167 D293
6w04:A:A1	A_A D7 N9 D169
5o79:A:A1	A_A R212 N241 N252
5l9n:A:A1	A_A F11 D14 D15
2zl7:A:A1	A_A L236 Y441 V499
6pid:A:A1_A2	A_A E288 D324 D326:A_A D104 D106
7kz4:A:A1	A_A P252 G282 D284
8elf:B:B1	B_B G70 T72 T73
5z46:A:A1_A2	A_A N207 G208:A_A N41 E63 D65
4i45:A:A1	A_A H51 D125
5d6q:B:B1	B_B N82 G83 T171
6iah:A:A1_A2	A_A D6 D8 D199:A_A D13 E16
4qhz:C:C1	C_C N137 S138 E147 Q149 Q246
3mg8:F:F1_F2	F_F A164 R169 K173:F_F S13 N127
2yc4:C:C1	C_C S103 S104 M105 H145 Q146
4nkb:A:A1	A_A R470 R471
5ilg:A:A1	A_A G92 M189
5d86:A:A1	A_A S232 R233
8jc1:A:A1	A_A L192 N194 D222
6k82:B:B1	B_B T164 S166 D286
1zsh:A:A1	A_A P175 E176
4mn3:A:A1	A_A E2 H41
2oem:B:B1	B_B K173 D175 E176
9ftf:A:A1_A2	A_A S1523 N1526 S1529:A_A Q1652 E1654
1hbn:F:F1	F_F E34 D35
2c9e:A:A1	A_A S71 D75 D223
3d19:A:A1	A_A H124 E128 H165 E259
3nc3:A:A1_A2	A_A P172 R175:A_A H248 N251
2dqb:C:C1	C_C H79 D109 D196
3f79:E:E1	E_E D192 D210 G213
6u07:A:A1	A_A N196 S198
6xjh:C:C1	C_C T40 E70
1h65:A:A1	A_A S53 E73
4nyz:A:A1	A_A K159 E161 R163 T173 R174
5h6o:A:A1	A_A L21 V158
1olu:A:A1	A_A E193 N222 Y224
3s9f:A:A1_A2_A3	A_A T111 L112 T125 R126 R128:A_A P90 F91:A_A H7 E10 A11
3e4g:A:A1	A_A G34 T68
6aok:A:A1	A_A D9 D11 D158
8a5f:A:A1_A2	A_A I122 K123 A125 G127 G128:A_A T147 L149 V152
2vn2:A:A1	A_A H24 Q27 H109 Q113
3luf:B:B1_B2	B_B D130 D174 Y176:B_B D10 D53 T55
6puq:A:A1_A2_A3_A4_A5	A_A T99 F102 F187:A_A L146 P147 S148 G186 F187 C199:A_A A183 V184 L220:A_A Y149 I151 S153 D156 Q201:A_A S93 T94 N123 D125
3ks9:A:A1	A_A I89 N90 D92 L95 L96
2jc9:A:A1	A_A D52 D54 D351
2b56:A:A1	A_A D97 D99
4r5q:A:A1	A_A D123 E136 I137 H146
4h16:A:A1	A_A A96 D101
6cxb:A:A1	A_A D626 H627 E684 L688 Q690
5zod:A:A1	A_A E160 D179 D181 D233
5ed8:A:A1	A_A V572 D577 N582 Y689
9mm2:A:A1_A2	A_A G179 K181 E205:A_A Y377 G378 L405
1h7q:A:A1	A_A H117 E119
1xrj:B:B1	B_B S60 D62 E135
5xob:Z:Z1	Z_Z D8 T18 G57
3wbz:E:E1_E2	E_E D29 D76:E_E D29 G30 D76
3lop:A:A1	A_A A136 K152 Y155 S260
5vk4:B:B1	B_B E139 T140
2vk6:A:A1	A_A D1515 W1573
5thx:A:A1	A_A R31 F32
7apn:A:A1	A_A H215 S216
2qgy:A:A1	A_A D198 E224 E250
2ikf:A:A1	A_A D66 D68
6p8j:A:A1	A_A N62 N64 D130
3mwc:A:A1	A_A D210 E235 D260
3tva:A:A1	A_A E155 D181 H208 E256
7d4r:A:A1	A_A H140 H156 S179 H181 E204
5jnb:B:B1	B_B S595 D608
9bq0:B:B1	B_B K221 H265
2q58:A:A1_A2	A_A D1115 D1119:A_A D1115 D1119
4mzu:B:B1	B_B G58 N76
6oh6:A:A1_A2	A_A N230 S234 E238:A_A D90 E95
7c1z:B:B1	B_B S181 T237
8re2:A:A1_A2_A3	A_A Q28 A29 T30 A80:A_A Y357 D358 E366 R371:A_A H249 Y353 E370
8bgj:A:A1	A_A D73 I74 D154
5bn8:A:A1	A_A G201 G203 T204
2jk1:A:A1	A_A D13 D55 R57
3gn6:C:C1	C_C H282 H286 E308
4p2x:A:A1	A_A D245 Y247 A354
2vjk:A:A1	A_A D294 D297
4qi3:A:A1	A_A G149 Q186
3rnl:A:A1	A_A S26 H28 I31
4lqh:A:A1_A2_A3	A_A E136 Q137:A_A E57 E136 D140:A_A E103 Q137 D140
8qwt:A:A1_A2	A_A S239 C243:A_A D30 E37 S331
4awy:B:B1_B2	B_B P89 Q90 G92 E127:B_B R148 D152
6pw3:A:A1	A_A R871 E875
3ajx:A:A1	A_A E1030 D1059
6ude:B:B1	B_B G13 T14 T15 S16
8orj:A:A1_A2	A_A C122 H259 H353:A_A D119 C122 H227
5cad:A:A1	A_A A25 G28
4acb:A:A1	A_A T19 T46
5e92:A:A1	A_A N384 D397
3opk:C:C1	C_C P12 A14 V99
8iu7:B:B1_B2	B_B D29 D83 H106 D158:B_B H23 D27 D83
4uas:A:A1	A_A D8 D10 D176
8yfk:A:A1	A_A S1532 R1584
4b61:A:A1	A_A A136 T139 Y141 E144
1wpv:A:A1	A_A H73 H77
5x4h:A:A1	A_A D36 D83 H106 D165
4gwi:A:A1	A_A Q54 D97
8h6s:A:A1	A_A E109 D247 Q248 S266
3qut:A:A1_A2	A_A D11 N13 E47 N172:A_A N191 P210
4hac:A:A1	A_A H59 P60 Y61 V62
8xne:B:B1	B_B D472 R485 S486
2gl5:A:A1	A_A E222 E248 E274
7lar:B:B1	B_B S181 D215
3wqt:A:A1	A_A S13 I41
4f1j:A:A1_A2	A_A S56 S58 D162:A_A S134 D170
7xy9:A:A1_A2	A_A G297 G298 L300 R301:A_A H100 H102 H157 C295
3ic4:A:A1	A_A K66 H67
1u7p:A:A1	A_A D11 D13 D123
4qqf:F:F1	F_F G220 D222
7xld:B:B1	B_B D102 G111 D113
5x86:A:A1_A2	A_A Y62 S66 R69:A_A T7 E9 D94
6k4e:B:B1_B2	B_B D474 D600 D653:B_B D474 C475 G477
1yun:B:B1	B_B H16 S178 A179
3b1v:A:A1	A_A T15 T35
2bif:A:A1	A_A K51 T52 D128
1b62:A:A1	A_A N33 Q331
8rzf:A:A1	A_A N351 D367 D371
3kws:A:A1	A_A E190 D223 H249 E287
7mcj:A:A1	A_A G71 I135
2xs4:A:A1	A_A S75 S78
1jub:A:A1	A_A K33 S35
7siy:A:A1	A_A D229 N233 Y235 E240 F336
5u08:D:D1	D_D E14 D20
3oee:S:S1	S_S T178 D271
4kp1:A:A1	A_A C304 T305 R388
4wcw:D:D1	D_D I37 T38 D39
1y9i:A:A1	A_A D98 T141 D144 D145
6nef:A:A1	A_A E131 N136 D147
2q73:A:A1	A_A E30 E33 E58 D61
4rck:A:A1	A_A S25 S27
7kwd:A:A1	A_A D47 T148 E270
3k4z:A:A1	A_A T21 D23 N53 K54 D166
5z2w:A:A1	A_A G163 R164
6j6x:B:B1	B_B E318 V319
6z2a:A:A1	A_A D386 G453
1t5j:A:A1	A_A E26 D61 D255
7qej:A:A1	A_A S57 H191
1dqv:A:A1	A_A D388 S391
3o2e:A:A1	A_A I65 H66
